MUNIC_NAME;female_1996;female_2001;female_2011;female_2022;male_1996;male_2001;male_2011;male_2022;black_african_1996;black_african_2001;black_african_2011;black_african_2022;coloured_1996;coloured_2001;coloured_2011;coloured_2022;indian_or_asian_1996;indian_or_asian_2001;indian_or_asian_2011;indian_or_asian_2022;other_1996;other_2001;other_2011;other_2022;unspecified_1996;unspecified_2001;unspecified_2011;unspecified_2022;white_1996;white_2001;white_2011;white_2022;age_0_9_1996;age_0_9_2001;age_0_9_2011;age_0_9_2022;age_100_plus_1996;age_100_plus_2001;age_100_plus_2011;age_100_plus_2022;age_10_19_1996;age_10_19_2001;age_10_19_2011;age_10_19_2022;age_20_29_1996;age_20_29_2001;age_20_29_2011;age_20_29_2022;age_30_39_1996;age_30_39_2001;age_30_39_2011;age_30_39_2022;age_40_49_1996;age_40_49_2001;age_40_49_2011;age_40_49_2022;age_50_59_1996;age_50_59_2001;age_50_59_2011;age_50_59_2022;age_60_69_1996;age_60_69_2001;age_60_69_2011;age_60_69_2022;age_70_79_1996;age_70_79_2001;age_70_79_2011;age_70_79_2022;age_80_89_1996;age_80_89_2001;age_80_89_2011;age_80_89_2022;age_90_99_1996;age_90_99_2001;age_90_99_2011;age_90_99_2022;age_unspecified_1996;age_unspecified_2001;age_unspecified_2011;age_unspecified_2022;Tot_pop_1996;Tot_pop_2001;Tot_pop_2011;Tot_pop_2022
George;60607;76285;98361;149957;59538;73148;95311;144967;23042;37598;54676;103110;65157;80241;97631;130942;241;357;923;1113;0;0;2306;5329;2088;0;0;59;29617;31237;38136;54371;23489;28531;34906;44514;2;4;127;24;23219;29585;32766;45667;22114;25370;34419;51540;18780;25137;28692;50300;13085;18073;25916;37838;8104;10950;17926;29237;5586;6789;11170;20544;2837;3615;5601;11056;965;1199;1896;3742;115;180;253;458;1849;0;0;4;120145;149433;193672;294924
Govan Mbeki;98720;109426;142328;154847;110903;112317;152216;155268;164497;185455;237191;277214;2369;2364;4504;2721;2402;2054;4408;3535;0;0;1265;27;1867;0;0;4;38488;31870;47176;26614;40798;43142;55911;54407;4;27;82;40;37991;42581;49035;47944;41569;43072;65052;57845;43748;40079;46264;60650;23774;29427;35131;36945;10572;13180;25709;26549;5281;6311;10863;18096;2259;2777;4680;5776;704;997;1522;1556;133;150;295;305;2790;0;0;2;209623;221743;294544;310115
Greater Giyani;121016;134122;136093;172972;97730;106604;108122;143872;217127;240082;242943;312804;52;87;168;459;55;110;612;2817;0;0;160;274;821;0;0;76;691;447;332;414;66939;62555;61329;76396;10;36;90;117;62508;73646;60493;64885;33816;38204;43497;47464;21853;24076;25908;42451;13341;18240;19698;31410;7428;9118;14369;23962;7000;7771;8770;17610;3623;4774;6800;7552;1029;1965;2626;4024;203;341;635;969;996;0;0;4;218746;240726;244215;316844
Greater Tzaneen;185508;204464;208538;255150;157038;171123;181558;223101;329670;366547;375904;464489;395;690;674;1010;221;316;1410;1995;0;0;549;391;2837;0;0;33;9423;8034;11559;10333;88945;85332;85876;102653;12;64;120;218;86174;97614;81604;84955;58768;65127;74316;75862;40429;47396;50064;73550;26024;33548;39752;53512;15863;19997;26696;41522;12383;13829;16322;27113;6993;8491;9813;12173;2103;3559;4474;5078;402;630;1059;1566;4450;0;0;49;342546;375587;390096;478251
JB Marks;80194;87114;110252;110019;76529;84317;109215;102654;110174;127534;167113;178310;7959;9485;12543;10871;896;589;1716;147;0;0;1208;478;1057;0;0;14;36637;33823;36887;22853;27663;28751;41950;36018;0;24;76;26;33144;33711;37341;35145;32505;33313;44537;37424;23336;27219;31889;35664;16403;20920;25642;26914;10734;13288;18820;19607;6563;8108;11329;13567;3504;4275;5695;6155;1214;1574;1876;1869;205;248;312;279;1452;0;0;5;156723;171431;219467;212673
King Sabata Dalindyebo;215842;227928;243760;252828;180466;188419;207948;223727;390261;412116;444771;466827;2095;2258;3403;3914;814;558;1480;1984;0;0;699;1726;1540;0;0;182;1598;1415;1355;1922;114410;109644;105173;101695;9;36;138;142;105075;118641;114133;95681;61239;64722;83720;84791;39741;40942;48926;68896;25257;31432;37025;46848;18106;18904;29069;35078;17300;18890;17260;26354;8004;9375;11119;10979;2377;3256;4221;4919;364;505;924;1124;4426;0;0;48;396308;416347;451708;476555
KwaDukuza;72277;84951;117023;168288;71479;82851;114159;156626;97930;125014;182284;231942;1322;1895;2214;3617;36054;33048;32530;60378;0;0;1272;1012;1719;0;0;31;6731;7845;12882;27934;27910;33557;47441;52847;4;11;43;43;27132;34027;40651;52980;30833;33998;52679;58525;22957;25479;36856;62069;15106;17261;23268;41866;9457;11938;14651;25922;5783;7068;9443;18033;2310;3449;4423;9611;509;890;1487;2671;82;124;240;345;1673;0;0;2;143756;167802;231182;324914
Lephalale;40515;44064;52951;62436;38201;41206;62823;62760;69637;77265;104966;115486;133;183;1023;409;43;17;345;428;0;0;319;137;666;0;0;34;8237;7805;9121;8702;20663;20034;21357;25467;0;19;43;32;18563;20411;19045;19876;13075;15044;29669;24262;10444;11642;18615;23742;6380;8022;11835;13277;3761;4503;8037;9108;2823;3150;3951;5881;1487;1611;2181;2374;471;698;820;935;106;136;221;226;943;0;0;16;78716;85270;115774;125196
Madibeng;156481;169413;223392;257664;163493;178162;253992;264901;288925;316420;426193;491047;2140;2560;4291;4522;1148;1152;2447;375;0;0;1759;663;1841;0;0;142;25920;27443;42694;25816;66999;62906;90412;93142;23;37;109;63;61560;69179;69394;83695;62389;67459;106080;90425;50305;56001;80062;95506;34390;42826;54890;68446;19613;24069;39865;43949;12161;14306;21692;29965;6613;7425;10372;12792;2218;2855;3759;3853;445;512;749;717;3258;0;0;12;319974;347575;477384;522565
Mafikeng;127933;133870;149881;180326;114204;125608;141641;174176;230985;247635;278282;345115;4551;5458;6690;6172;1325;1858;2327;314;0;0;454;363;1135;0;0;96;4141;4527;3769;2442;58178;55798;61378;69009;8;42;77;35;53878;57066;59806;64207;48766;48492;55177;67215;33574;40084;39345;53913;19478;27083;32649;40001;12238;14841;22209;30097;7664;8954;12027;19522;4670;5029;6083;7532;1421;1751;2299;2496;363;338;472;466;1899;0;0;9;242137;259478;291522;354502
Makhado;250674;273588;279237;266209;204921;220674;236793;236242;441045;481432;502121;484731;948;1235;1115;1479;988;1329;1819;3370;0;0;517;194;2585;0;0;557;10029;10266;10458;12120;128006;124067;121696;106863;19;217;302;435;120405;134780;119372;92392;70449;79048;86691;81925;46199;52972;59361;69874;30247;38746;46760;54455;18272;22705;34096;43478;20098;19595;21106;30332;12198;14479;15918;13272;4247;6374;8363;6753;884;1279;2365;2613;4571;0;0;59;455595;494262;516030;502451
Maluti-a-Phofung;191446;194540;182575;214072;161797;166009;153207;184386;346305;355208;329794;390082;402;405;682;932;233;397;777;1100;0;0;273;355;1061;0;0;109;5242;4539;4256;5880;83543;77797;75836;73593;32;93;81;66;90634;94563;72812;78161;66475;62900;62192;68357;43178;46820;40255;61502;27269;33496;33098;43348;15866;20088;24945;33902;12788;13451;15018;24825;7049;7594;7882;10755;2275;3260;2943;3250;431;487;720;688;3703;0;0;11;353243;360549;335782;398458
Matjhabeng;212749;207797;204954;228566;264012;200366;201506;210469;396816;356096;356351;386796;8974;8901;8731;10053;392;474;1457;2050;0;0;787;527;2356;0;0;79;68223;42692;39134;39530;82126;74227;77423;77188;20;26;114;45;77035;82783;70597;77172;86805;70656;81239;71720;107094;72837;57178;74576;66901;56953;51720;51479;31304;27485;38611;42055;13585;14845;17893;29285;5622;5946;8765;11652;1523;2139;2454;3427;262;266;466;429;4484;0;0;7;476761;408163;406460;439035
Merafong City;73684;89524;90365;110683;136044;120957;107156;114792;174001;175668;170896;201553;1399;1595;2128;2930;247;270;564;722;0;0;642;320;1405;0;0;64;32676;32948;23291;19886;29214;32311;33871;36716;7;18;48;15;24425;29902;28741;34177;45882;41607;41752;41626;55156;49374;34650;44690;31724;35451;29537;30056;13474;13544;18349;20220;4505;5271;6490;11859;1641;2267;2975;4685;485;644;971;1277;90;92;137;144;3125;0;0;10;209728;210481;197521;225475
Metsimaholo;51343;56715;71474;80399;55569;59234;77636;77994;75719;93989;122698;134711;468;580;1069;902;141;182;480;556;0;0;472;268;503;0;0;20;30081;21198;24391;21936;19707;20645;27842;25886;2;7;35;11;20768;23578;23926;26906;22454;23520;31753;25677;18502;19535;25226;28038;11957;13738;17868;21143;6724;8203;12017;14961;3496;4189;6621;10040;1512;1782;2821;4344;459;670;837;1220;68;82;164;164;1263;0;0;3;106912;115949;149110;158393
Mogalakwena;152461;161419;163978;197669;130069;137019;143703;180530;274921;285279;295797;362047;208;264;402;817;95;944;1644;2161;0;0;562;602;2641;0;0;56;4665;11951;9276;12516;77349;73141;72941;78973;13;75;111;196;76238;82660;68944;66716;42324;45370;52312;62060;26280;29936;34449;55640;18866;23611;26987;39771;13900;16097;21016;31463;12196;14272;15001;24957;7161;8760;10551;11828;2406;3871;4231;5415;444;645;1138;1170;5353;0;0;10;282530;298438;307681;378199
